ImageURL,Description,Country,Weather,TimeOfDay,Season,Activity,Mood
https://www.l35.com/default/imagenes/2016/12/4840_es-madrid.sh810.jpg,Santiago Bernab stadium showing the home of Real Madrid football club,Spain,Sunny,Afternoon,Summer,Sightseeing,Excitement
https://media.architecturaldigest.com/photos/66a951edce728792a48166e6/16:9/w_1920,Eiffel Tower showing a famous landmark in Paris,France ,Sunny,Afternoon,Summer,Sightseeing,Excitement
https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/3Falls_Niagara.jpg/1200px-3Falls_Niagara.jpg,Niagara Falls showing powerful natural waterfalls,USA,Cloudy,Afternoon,Summer,Sightseeing,Adventure
https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Close_Up_View_of_Mount_Everest_from_Kala_Patthar_%285644_m%29_in_2023-IMG-3485.jpg/1000px-Close_Up_View_of_Mount_Everest_from_Kala_Patthar_%285644_m%29_in_2023-IMG-3485.jpg,Mount Everest showing snowy mountains and high peaks,Nepal,Snowy,Morning,Winter,Hiking,Adventure
https://images.unsplash.com/photo-1635857161777-2383f2e4a82d?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8YnVyaiUyMGtoYWxpZmF8ZW58MHx8MHx8fDA%3D,Burj Khalifa showing modern buildings in Dubai,UAE,Sunny,Afternoon,Summer,Sightseeing,Excitement
https://afar.brightspotcdn.com/dims4/default/ea28eda/2147483647/strip/false/crop/3000x1688+0+275/resize/1200x675!/quality/90/?url=https%3A%2F%2Fk3-prod-afar-media.s3.us-west-2.amazonaws.com%2Fbrightspot%2Fb2%2Ff4%2F9a1ebe3f427f8e5eb937f8df8998%2Ftravelguides-maldives-videomediastudioeurope-shutterstock.jpg,Maldives beach showing clear sea and island houses,Maldives,Sunny,Afternoon,Summer,Relaxing,Happiness
"https://res.cloudinary.com/aenetworks/image/upload/c_fill,ar_2,w_3840,h_1920,g_auto/dpr_auto/f_auto/q_auto:eco/v1/gettyimages-1390815938?_a=BAVAZGID0",Tokyo city showing tall buildings and city life,Japan,Sunny,Evening,Clear,Sightseeing,Excitement
https://etias.com/assets/uploads/imagery/blog/santorini-cliffside-blue-domes-bougainvillea.jpg,Santorini buildings showing Greek islands and sea views,Greece,Sunny,Afternoon,Summer,Sightseeing,Romance
https://i.natgeofe.com/k/5b396b5e-59e7-43a6-9448-708125549aa1/new-york-statue-of-liberty.jpg,New York City and its famous Statue of Liberty,USA,Sunny,Afternoon,Summer,Sightseeing,Curiosity
"https://res.cloudinary.com/aenetworks/image/upload/c_fill,ar_2,w_3840,h_1920,g_auto/dpr_auto/f_auto/q_auto:eco/v1/topic-london-gettyimages-760251843-feature?_a=BAVAZGID0",London showing Big Ben and historic buildings,UK,Sunny,Afternoon,Fall,Sightseeing,Excitement
