Image URL,Description,Country,Weather,Time of Day,Season,Activity,Mood
https://unsplash.com/photos/the-dome-of-the-rock-on-top-of-a-building-VQtqnnF5h9o,Al-Aqsa Mosque with its golden Dome of the Rock — chosen because it’s a spiritual and historical landmark I dream of visiting,Palestine,Sunny,Morning,Summer,Breakfast in front of Al-Aqsa Mosque,Curiosity
https://unsplash.com/photos/historic-alhambra-palace-and-fortress-complex-in-granada-spain-gM1lnTTdWuE,Alhambra Palace surrounded by gardens and Andalusian architecture — chosen for its beauty and rich Islamic history,Spain,Sunny,Morning,Summer,Sightseeing,Nostalgia
https://unsplash.com/photos/brown-pyramid-under-blue-sky-during-daytime-vqRMXgVtGXM,The Great Pyramids of Giza at sunset — I chose it because it’s one of the most iconic wonders of the world,Egypt,Sunny,Evening,Summer,Riding a horse,Excitement
https://unsplash.com/photos/green-lights-in-the-sky-qmkrwK5c0O8,Northern lights over Tromsø — chosen because watching the aurora is a dream experience,Norway,Snowy,Night,Winter,Relaxing,Adventure
https://unsplash.com/photos/mountains-and-a-lake-are-seen-at-dusk-jyIZf3jOG7s,Mountains and lakes of Interlaken — chosen for its breathtaking nature,Switzerland,Sunny,Morning,Summer,Hiking,Happiness
https://unsplash.com/photos/venice-canal-at-sunset-with-historic-buildings-wZIHFOzLuTQ,Venice canals with boats — chosen because of its unique floating city charm,Italy,Sunny,Afternoon,Spring,Boat Ride,Romance
https://unsplash.com/photos/golden-hour-photography-of-eiffel-tower-paris-mPU41vaFzKI,Eiffel Tower in Paris during golden hour — chosen for its iconic beauty,France,Sunny,Evening,Summer,Sightseeing,Romance
https://unsplash.com/photos/burj-khalifa-towers-over-the-dubai-skyline-at-sunset-9n7rZJLWY7o,Burj Khalifa at sunset — chosen because it’s the tallest building and a symbol of modern architecture,United Arab Emirates,Sunny,Evening,Summer,Sightseeing,Excitement
https://unsplash.com/photos/the-big-ben-clock-tower-towering-over-the-city-of-london-Fr6QamEIQEw,Big Ben and the Houses of Parliament — chosen for its classic London vibes,United Kingdom,Cloudy,Afternoon,Fall,Sightseeing,Curiosity
https://unsplash.com/photos/niagara-falls-cascades-powerfully-under-a-blue-sky-zmx0tHvThJo,Niagara Falls with powerful water flow — chosen for its natural beauty and energy,Canada,Cloudy,Morning,Summer,Sightseeing,Excitement
