Image URL,Description,Country,Weather,Time of Day,Season,Activity,Mood
https://images.pexels.com/photos/28657055/pexels-photo-28657055.jpeg,Mount Everest snowy mountain landscape,Nepal,Cold / Clear,Daytime,Winter,Hiking,Majestic
https://images.pexels.com/photos/2399391/pexels-photo-2399391.jpeg,Swiss snowy village with wooden houses and mountains,Switzerland,Snowy,Morning,Winter,Sightseeing,Calm
https://images.pexels.com/photos/27221292/pexels-photo-27221292.jpeg,Motorboat in Nesso on Lake Como with colorful lakeside houses,Italy (Lake Como),Sunny,Afternoon,Summer,Boating,Peaceful
https://images.pexels.com/photos/9942061/pexels-photo-9942061.jpeg,View of Haifa harbor from Bahai Gardens,Palestine,Clear,Daytime,Spring,Sightseeing,Relaxed
https://images.pexels.com/photos/91409/pexels-photo-91409.jpeg,The Pyramids of Giza with a camel in the desert,Egypt,Sunny,Daytime,Summer,Tourism,Adventurous
https://images.pexels.com/photos/533851/pexels-photo-533851.jpeg,Blue-and-white boats docked on a calm Austrian lake,Austria,Clear / Sunny,Daytime,Summer,Relaxing / Boating,Peaceful
https://images.pexels.com/photos/258196/pexels-photo-258196.jpeg,Canal view in Venice with boats and historic buildings,Italy,Clear / Sunny,Daytime,Not Clear,Sightseeing / Boat ride,Romantic
https://images.pexels.com/photos/54308/pexels-photo-54308.jpeg,Fan wearing red-and-blue FC Barcelona top raising hand in stadium crowd,Spain,Clear / Sunny,Daytime,Not Clear,Football fan / Cheering,Excitement / Passion
https://images.pexels.com/photos/3449662/pexels-photo-3449662.jpeg,People exploring ancient ruins in Athens — a glimpse of Greece's historic past,Greece,Clear / Sunny,Daytime,Not Clear,Sightseeing / Exploring ruins,Curiosity / Awe
https://images.pexels.com/photos/18274181/pexels-photo-18274181.jpeg,Crowd around the Kaaba at sunset in Mecca — sacred pilgrimage site with many pilgrims gathered in devotion,Saudi Arabia,Clear / Sunny,Evening,Not Clear,Pilgrimage / Spiritual visit,Reverence / Awe
