Image URL,Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion
https://static.independent.co.uk/2025/08/19/15/43/iStock-1547565308.jpeg,"Lush green terraced rice paddies, characteristic of Bali's agricultural landscape",Indonesia,Sunny,Morning,Summer,Sightseeing,Happiness
https://cdn.pixabay.com/photo/2017/07/13/09/44/israel-2499892_1280.jpg,The iconic golden dome and intricate blue tile work of the mosque,Palestine,Sunny,Morning,Summer,Worship,Humility 
https://thumbs.dreamstime.com/b/paris-louvre-museum-pyramid-tourists-sunset-glow-afternoon-illuminates-grounds-shades-pink-yellow-purple-world-s-399996264.jpg,The modern glass pyramid entrance contrasting with the historic palace architecture,France,Cloudy,Afternoon,Spring,Sightseeing,Excitement
https://images.squarespace-cdn.com/content/v1/5cd57d59ca525b7e9eae595c/0b585eb6-c4cb-4790-9c05-d684b37f1d78/Venice+walk+2023-08-06+016.jpg,"Gondolas floating on the Grand Canal, surrounded by classic Venetian buildings",Italy,Sunny,Afternoon,Summer,Relaxing,Romance
https://www.shutterstock.com/image-photo/mountain-fuji-sakura-cherry-blossom-260nw-2337510813.jpg,Mount Fuji towering over delicate cherry blossom trees in full bloom,Japan,Sunny,Morning,Spring,Sightseeing,Happiness
https://cdn.naturettl.com/wp-content/uploads/2023/05/04144518/banff-national-park-landscapes-2-900x600.jpg,The stunning turquoise waters of Moraine Lake backed by the snow-dusted Valley of the Ten Peaks,Canada,Cloudy,Morning,Spring,Hiking,Adventure
https://t3.ftcdn.net/jpg/01/13/78/94/360_F_113789415_Vt3uGKROnhEfExarV9MS7S8rJq60fLQ1.jpg,Trekkers making their way across a snowy path toward the high-altitude mountain peaks,Nepal,Sunny,Afternoon,Fall,Hiking,Adventure
https://t3.ftcdn.net/jpg/04/15/61/06/360_F_415610652_VEm4IyaJi9oxKqnuQCIffkVDEwMvJLqe.jpg,The historic main square filled with people dining and socializing under the arcades,Spain,Cloudy,Afternoon,Summer,Relaxing,Happiness
https://thumbs.dreamstime.com/b/oia-santorini-dark-night-long-exposure-photograph-sunset-mediterranean-sea-greece-oia-santorini-dark-night-long-261592555.jpg,"White, cliffside houses with blue domes overlooking the Aegean Sea during sunset",Greece,Sunny,Evening,Summer,Relaxing,Romance
https://st4.depositphotos.com/1001001/19815/i/450/depositphotos_198158840-stock-photo-landscape-beautiful-camps-bay-cape.jpg,An aerial view of the city bowl and coastline with the flat top of Table Mountain,South Africa,Sunny,Afternoon,Summer,Sightseeing,Excitement
