Image URL,Description,Country,Weather,Time of Day,Season,Activity,Mood
https://unsplash.com/photos/white-and-blue-concrete-building-near-body-of-water-during-daytime-vF0l0bqLRKY,"White-washed buildings with blue domes overlooking the Aegean Sea in Santorini. I chose it for its unique architecture and stunning coastal views.",Greece,Sunny,Morning,Summer,None,Happiness
https://unsplash.com/photos/a-couple-of-people-walk-on-the-beach-carrying-surfboards-hY2KEPIGauM,"Surfers preparing to enter the waves on a sandy beach in Bali during sunset. I chose it for its relaxed atmosphere and popular surf culture.",Indonesia,Cloudy,Evening,Summer,Surfing,Adventure
https://unsplash.com/photos/colosseum-arena-photography-VFRTXGw1VjU,"The Colosseum in Rome illuminated at dusk, showcasing its ancient architecture and historical significance. I chose it for its cultural heritage and iconic structure.",Italy,Cloudy,Evening,Fall,None,Curiosity
https://unsplash.com/photos/venice-grand-canal-iEOATKFQyTo,"Boats traveling along the Grand Canal in Venice, surrounded by historic colorful buildings. I chose it for its unique waterways and romantic atmosphere.",Italy,Cloudy,Afternoon,Spring,Boating,Romance
https://unsplash.com/photos/white-and-brown-concrete-building-near-body-of-water-during-daytime-puSvDdTgJ9o,"A picturesque lakeside village in Hallstatt, surrounded by mountains and autumn-colored trees. I chose it for its calm atmosphere and scenic natural beauty.",Austria,Cloudy,Afternoon,Fall,None,Nostalgia
https://unsplash.com/photos/white-bridge-over-river-surrounded-by-trees-NMety5Q4gm0,"The Bow Bridge in Central Park surrounded by colorful autumn foliage. I chose it for its peaceful atmosphere and beautiful seasonal colors.",USA,Sunny,Afternoon,Fall,None,Happiness
https://unsplash.com/photos/manarola-village-popular-european-italian-tourist-destination-in-cinque-terre-national-park-unesco-world-heritage-site-liguria-italy-on-sunset-nC4jLOVjV-c,"Colorful cliffside houses in Cinque Terre overlooking the Mediterranean Sea. I chose it for its vibrant architecture and stunning coastal views.",Italy,Sunny,Afternoon,Summer,Photography,Excitement
https://unsplash.com/photos/man-and-woman-walking-on-road-between-cherry-blossom-trees-during-daytime-C7PbvWUCuPs,"A couple walking under blooming cherry blossom trees in Japan. I chose it for its peaceful atmosphere and iconic spring scenery.",Japan,Sunny,Afternoon,Spring,Walking,Calm
https://unsplash.com/photos/a-city-in-the-middle-of-a-snowy-mountain-range-wbK-q0Sqc8s,"A snowy night view of Zermatt village with the Matterhorn mountain in the background. I chose it for its dramatic alpine scenery and winter charm.",Switzerland,Snowy,Evening,Winter,None,Adventure
https://media.istockphoto.com/id/1202673580/photo/group-of-ski-mountaineers-during-a-trip-on-the-alps.webp?a=1&s=612x612&w=0&k=20&c=-hENS_I1QZVqg_OgI83YVqixrBKEIr0Gw9nwOlJ38aE=,"Group of skiers hiking through snowy mountains in the Swiss Alps. I chose it for its adventurous winter landscape and dramatic alpine scenery.",Switzerland,Sunny,Morning,Winter,Skiing,Adventure

