Image URL,Description,Country,Weather,Time of Day,Season,Activity,Mood
https://share.google/images/ks98pGIkYZ25pRoRW,"Iceland Northern Lights — my favorite place since I was a kid and saw it in many movies.",Iceland,Snowy,Evening,Winter,Sightseeing,Happiness
https://share.google/images/6u3PftajOlwmxNR42,"Edinburgh Castle — I chose this place because it has the mood of dark fantasy.",Scotland,Cloudy,Afternoon,Not Clear,Sightseeing,Adventure
https://share.google/images/DsaaMXYSDEaHuNGcf,"Salar de Uyuni — famous for its mirror-like reflection photos in the rainy season.",Bolivia,Cloudy,Morning,Spring,Sightseeing,Happiness
https://share.google/images/QRS1cvwm6OPmSJ78e,"Louvre Museum — a famous museum in France that has many famous art objects.",France,Not Clear,Evening,Fall,Sightseeing,Curiosity
https://share.google/images/GUmhgZNF5I30wQL3v,"Kyoto — famous for cherry blossoms and beautiful shrines.",Japan,Sunny,Morning,Spring,Sightseeing,Romance
https://share.google/images/dzVSyHHsL2BTzzaiZ,"Floating Torii Saga Shrine — a beautiful place for relaxing and sightseeing.",Japan,Sunny,Morning,Not Clear,Sightseeing,Happiness
https://share.google/images/7VGTG0f8cXV2ncTD4,"Cappadocia Balloon Festival — beautiful hot air balloons in Turkey.",Turkey,Sunny,Afternoon,Not Clear,Sightseeing,Excitement
https://share.google/images/nQ0go88QxmkmVRJuw,"Sea of Stars — the perfect beach with glowing blue bioluminescent waves.",Maldives,Not Clear,Evening,Not Clear,Sightseeing,Happiness
https://share.google/images/lipmk6JeSZOZAyh52,"Great Wall of China — a place I always wanted to walk through.",China,Cloudy,Morning,Spring,Hiking,Adventure
https://share.google/images/DV6aHjn5r20EiCsI7,"Tunnel of Love — a beautiful nature-filled train path.",Ukraine,Sunny,Morning,Spring,Relaxing,Happiness
