Image URL,Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion
"https://assets.vogue.com/photos/676993635b71bcc73dd8f6df/master/w_960,c_limit/kudadoo-maldives-private.jpg","A circular overwater resort in the Maldives surrounded by clear turquoise water. I chose this place because it is peaceful, romantic, and perfect for a relaxing",Maldives,Sunny,Afternoon,Summer,Relaxing,Romance
https://sothebysrealty.gr/wp-content/uploads/2016/11/Santorini-sunset-at-dawn-Greece-Sothebys-International-Realty-1400x696.jpg,"A beautiful sunset view of Santorini with its white houses and blue domes overlooking the sea. I chose this place because it has peaceful scenery, stunning colors, and unique architecture that feels relaxing and inspiring.",Greece,Sunny,Evening,Summer,Sightseeing,Romance
https://www.schengenvisa.ae/blog/wp-content/uploads/2024/07/italy-752x440.jpg,"A scenic view of the Rialto Bridge in Venice over calm green water, chosen for its historic charm and beautiful architecture.",Italy,Cloudy,Afternoon,Fall,Exploring,Curiosity
https://www.urtrips.com/wp-content/uploads/2017/02/rialto-bridge1.jpg,"A beautiful coastal view in Bali with clear blue water, a sandy beach, and a cliffside pool, chosen for its tropical scenery and relaxing atmosphere.",Indonesia,Cloudy,Afternoon,Summer,Relaxing,Happiness
https://www.andamandaphuket.com/sites/andamanda/files/inline-images/admd%20phuket.jpg,"A tropical beach in Thailand with clear turquoise water, long-tail boats, and lush green cliffs, chosen for its vibrant colors and relaxing natural scenery.",Thailand,Sunny,Afternoon,Summer,Relaxing,Calm
https://worldinparis.com/wp-content/uploads/2022/01/View-from-the-Pantheon.jpg,"A golden sunset view of the Eiffel Tower surrounded by the city and green gardens, chosen for its iconic beauty and peaceful atmosphere.",France,Cloudy,Morning,Spring,Sightseeing,Inspiration
https://cdn.cheapoguides.com/wp-content/uploads/sites/3/2017/09/Higashiyama-Street-Kyoto-1280x600.jpg,"A traditional street in Kyoto with people wearing colorful kimonos, chosen for its cultural atmosphere and beautiful wooden architecture.",Japan,Sunny,Afternoon,Spring,Exploring,Curiosity
https://www.fairflight.de/blog/wp-content/uploads/2011/10/Honolulu-Oahu-Hawaii1-1080x640.jpg,"A bright coastal view of Waikiki Beach with turquoise water, golden sand, and the Diamond Head crater in the background, chosen for its lively atmosphere and beautiful ocean scenery.",USA,Sunny,Morning,Summer,Relaxing,Happiness
https://www.gonext.com/wp-content/uploads/2020/02/Dubai.jpg,"A glowing evening view of Dubai Marina with tall modern skyscrapers and bright city lights, chosen for its impressive skyline and vibrant atmosphere.",United Arab Emirates,Sunny,Evening,Winter,Sightseeing,Excitement
https://vacations.aircanada.com/.imaging/focalarea/wide/2000x/dam/jcr:ba71b9a9-b890-4816-8f7a-14fa2606bdcc/MCE-26334-DEST-Mexico-Tulum_Tulum-Ruins.jpg,"A scenic view of Tulum’s ancient ruins overlooking a turquoise beach, chosen for its mix of history, nature, and beautiful coastline.",Mexico,Sunny,Morning,Summer,Relaxing,Peace
