image_url,description,country,weather,time_of_day,season,activity,mood

https://pin.it/4Roi9llDc,historic buildings classical music and elegant streets,vienna,cloudy,Evening,winter,shopping,Happiness.

https://pin.it/jwOF50qX1,stunning sea views and romantic sunsets,santorini,Sunny,Evening,Summer,Relaxing,Romance.

https://pin.it/3dTCWFEyk,beautiful country,switzerland,Not clear,Afternoon,Summer,relaxing,Happiness.

https://pin.it/3OcFRi8ot ,city of canals bridges and timeless charm, Italy, Not clear, evening,Not clear ,sightseeing,Romance.

https://pin.it/7cQf6yiZL,famous landmarks historic streets,london,cloudy,evening,Fall,sightseeing,Happiness.

https://pin.it/1nzeKYmYd,clear beaches and nature , Thailand, not clear , evening , summer , relaxing, happiness.

https://pin.it/51gqcAjyK , vacation and beaches , Seychelles , sunny , morning, summer, relaxing, romance .

https://pin.it/6ANzk8922 , tropical paradise with crystal-clear water , Maldives, sunny , morning , summer, relaxing , romance.

https://pin.it/20XKInap0 , symbol of romance and culture , paris, snowy , not clear , winter , sightseeing , romance.

https://pin.it/4kziewG61 , old bridges colorful buildings , prague , raniy , evening , winter , shopping , happiness.




