Image URL,Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion
https://images.pexels.com/photos/2265845/pexels-photo-2265845.jpeg,"A distant view of the Eiffel Tower with surrounding buildings. I chose this place because of its historic charm, iconic architecture, and relaxing atmosphere.",France,Sunny,Evening,Summer,Sightseeing,Happiness
https://images.pexels.com/photos/35066432/pexels-photo-35066432.jpeg,A traditional Japanese house surrounded by colorful autumn trees. I chose this place because of its peaceful atmosphere and the beauty of Japanese architecture during the fall season.,Japan,Sunny,Afternoon,Fall,Sightseeing,Curiosity
https://images.pexels.com/photos/32585930/pexels-photo-32585930.jpeg,"Fishing boats docked in a scenic harbor in Cape Town. I chose this place because its clear waters, vibrant harbor atmosphere, and sense of adventure make it an exciting travel destination.",South Africa,Sunny,Afternoon,Summer,Hiking,Adventure
https://images.pexels.com/photos/26841021/pexels-photo-26841021.jpeg,"A young woman in traditional Peruvian clothes standing among purple spring flowers in Cusco. I chose this place because I’m curious to learn more about its rich history, culture, and beautiful traditional atmosphere.",Peru,Sunny,Morning,Spring,Sightseeing,Curiosity
https://images.pexels.com/photos/1450076/pexels-photo-1450076.jpeg,A woman sitting on a log near a snow-covered body of water in Canada. I chose this place for its serene winter landscape and the peaceful feeling of being close to nature.,Canada,Snowy,Morning,Winter,Hiking,Adventure
https://images.pexels.com/photos/13043589/pexels-photo-13043589.jpeg,Stands of the Spotify Camp Nou Stadium in Barcelona. I chose this place because of my passion for football and the iconic atmosphere of the stadium.,Spain,Sunny,Afternoon,Spring,Sightseeing,Excitement
https://images.pexels.com/photos/5840732/pexels-photo-5840732.jpeg,A portrait of a kangaroo in an Australian animal park. I chose this place because I’m curious to explore Australia’s wildlife and natural environment.,Australia,Sunny,Afternoon,Summer,Sightseeing,Curiosity
https://images.pexels.com/photos/13314280/pexels-photo-13314280.jpeg,A massive iceberg floating in Greenland’s icy waters. I chose this place for its breathtaking natural beauty and the sense of adventure in exploring remote polar landscapes.,Greenland,Snowy,Morning,Winter,Sightseeing,Adventure
https://images.pexels.com/photos/1450372/pexels-photo-1450372.jpeg,A red hammock tied between two trees in the Maldives. I chose this place for its relaxing atmosphere and the peaceful feeling of enjoying a calm morning by the beach.,Maldives,Sunny,Morning,Summer,Relaxing,Happiness
https://images.pexels.com/photos/18139789/pexels-photo-18139789.jpeg,A man riding a horse in traditional clothing in Tunisia. I chose this place for its rich cultural heritage and the charm of experiencing local traditions.,Tunisia,Cloudy,Afternoon,Fall,Sightseein,Curiosity
