Image URL,Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion
https://commons.wikimedia.org/wiki/File:Dom_of_the_Rock-10.JPG,"A clear image of the Dome of the Rock in Jerusalem, showcasing its iconic golden dome. It is one of the most important Islamic and historical landmarks in Palestine.",Palestine,Sunny,Afternoon,Summer,Sightseeing,Nostalgia
https://upload.wikimedia.org/wikipedia/commons/e/eb/Cave_of_the_Patriarchs%2C_Hebron_2007.jpg,"a clear image of the Ibrahimi Mosque (Cave of the Patriarchs) in Hebron, one of the oldest and most significant religious and historical sites in Palestine.",Palestine,Sunny,Morning,Spring,Sightseeing,Curiosity
https://upload.wikimedia.org/wikipedia/commons/3/3b/https://upload.wikimedia.org/wikipedia/commons/3/3c/Ruins_by_Seabastia_06.jpg.jpg,"A clear image of the ancient ruins in Sebastia near Nablus, showing stone columns and archaeological remains from the Roman period under a bright blue sky.",Palestine,Sunny,Afternoon,Summer,Exploring,Adventure
https://upload.wikimedia.org/wikipedia/commons/0/02/2012%D8%AF%D9%8A%D8%B1_%D9%85%D8%A7%D8%B1%D8%B3%D8%A7%D8%A8%D8%A7.jpg,"A clear image of Mar Saba Monastery in Bethlehem, built dramatically along the cliffside of the desert valley, showcasing its ancient stone architecture.",Palestine,Sunny,Afternoon,Summer,Sightseeing,Awe
https://upload.wikimedia.org/wikipedia/commons/c/cf/Ziko.jpg,"A clear aerial view of Tell es-Sultan in Jericho, showing the archaeological mound, excavation areas, and surrounding desert landscape.",Palestine,Sunny,Morning,Spring,Exploring,Curiosity
https://upload.wikimedia.org/wikipedia/commons/b/b0/Eiffel_Tower_in_Paris_on_19_July_2024_02.jpg,"A night view of the Eiffel Tower illuminated in golden lights against a dark blue sky, highlighting its detailed iron structure from a low-angle perspective.",France,Not Clear (night lighting),Afternoon,Not Clear,Sightseeing,Romance
https://upload.wikimedia.org/wikipedia/commons/f/fa/Great_Wall_of_China_July_2006.JPG,A bright and clear view of the Great Wall of China stretching across lush green mountains under a blue sky with scattered white clouds.,China,Sunny,Morning,Summer,Hiking,Adventure
https://upload.wikimedia.org/wikipedia/commons/1/12/Restaurant_at_sunset%2C_Fira%2C_Santorini%2C_Greece_%28approx._GPS_location%29_julesvernex2.jpg,"A beautiful sunset view in Santorini, Greece, showing cliffside cafés overlooking the sea and islands, with soft pastel colors in the sky.",Greece,Clear,Evening,Summer,Relaxing,Happiness
https://upload.wikimedia.org/wikipedia/commons/5/5f/Manhattan_from_Weehawken%2C_NJ.jpg,"A stunning nighttime panorama of New York City’s skyline, with illuminated skyscrapers reflecting beautifully on the water.",USA,Clear,Evening,Winter,Sightseeing,Excitement
https://upload.wikimedia.org/wikipedia/commons/9/91/Eriyadu_Island._View_from_the_west._Maldives.jpg,"A bright and peaceful beach view in the Maldives, showing crystal-clear turquoise water, white sand, and lush tropical trees, with a wooden walkway leading to the island.",Maldives,Sunny,Afternoon,Summer,Relaxing,Happiness
