ImageURL,Description,Country,Weather,TimeOfDay,Season,Activity,Mood
https://www.prestoiberica.com/wp-content/uploads/2017/06/Santiago-bernabeu.jpg,"Santiago Bernabéu Stadium, home of Real Madrid, known for its massive scale and modern football atmosphere.Ever since I was very small, I dreamed of visiting the Santiago Bernabéu since Real Madrid is my favorite football club , that why I choose this Stadium",Spain,Sunny,Morning,Spring,Stadium Tour,Excitement
https://builder.livingtours.com/public/images/produtos/MADPALAC3.jpg,"The Royal Palace of Madrid, a grand historical residence of the Spanish monarchy featuring baroque and classical architectural elements.I chose this image because I love history and architecture, and this palace represents both beautifully.",Spain,Sunny,Afternoon,Summer,Sightseeing,Curiosity
https://www.thetimes.com/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Fa4a67f98-49b4-49df-91e9-6767273a8720.jpg?crop=2560%2C1708%2C0%2C0,"Kumano Nachi Taisha Shrine and Nachi Falls, a famous UNESCO site in Wakayama.I chose this image because I’m deeply curious about Japanese culture, and this place captures both nature and tradition in a unique way.",Japan,Cloudy,Morning,Spring,Cultural Visit,Adventure
https://lh3.googleusercontent.com/gpms-cs-s/APRy3c9XSq2gqYhS2FCKmc05w1oblWfqpZjxWrDEhZgjM1z8eKJQ92h2-y8Qz7uxfYgo9mq5g6Bj0GZn76R2OvniLLxkMLnuEeLBToqS3_L7sOmPZUwujTPxITm5z_zNheRDy-LpWxxDhA=s1360-w1360-h1020-rw,"An aerial, panoramic photograph capturing London's iconic landmarks, the Tower of London and the Tower Bridge, alongside the winding River Thames.I chose it because London has great history, and the Thames area is one of the most iconic places I’ve always wanted to see.",UK,Not Clear,Morning,Winter,Sightseeing,Happiness
https://perarose.com/wp-content/uploads/2024/05/Kiz-Kulesi-Pera-Rose-Hotel.jpg,"Maiden’s Tower located on a small islet in the Bosphorus Strait, offering panoramic views of Istanbul.I chose this islet because the place feels calm with a beautiful view, and I like the story behind its name (Kız Kulesi), which comes from a tragic legend about a king’s daughter.",Turkey,Cloudy,Evening,Fall,Boat Ride,Romance
https://upload.wikimedia.org/wikipedia/commons/0/0f/20190725_Oeschinensee-Panorama%2C_Kandersteg_%2806540-42_stitch%29.jpg,"Lake Oeschinen, a turquoise alpine lake surrounded by mountains in the Bernese Oberland region of Switzerland.I chose this image because I love natural scenery, and Switzerland’s landscapes are some of the most beautiful in the world.",Switzerland,Sunny,Morning,Summer,Hiking,Adventure
https://media.tacdn.com/media/attractions-splice-spp-674x446/13/de/8f/7b.jpg,"Lusail Park Promenade with palm-lined walkways and the modern skyline of Lusail including the Katara Towers.I chose this place because I admire Qatar’s modern architecture and how the city blends luxury with futuristic design.",Qatar,Not Clear,Afternoon,Spring,Walking,Happiness
https://nerdnomads.com/wp-content/uploads/2016/03/Northern_Lights_Tromso_Norway.jpg,"The Northern Lights glowing above snowy mountains near Tromsø, one of the world’s best Aurora viewing locations.I chose this place because I’ve always wanted to see the Northern Lights in real life ,it feels magical.",Norway,Snowy,Night,Winter,Nature Watching,Amazed
https://i.pinimg.com/1200x/07/ac/da/07acdaeed7e6f0e29abf2304260194e9.jpg,"A frozen lake surrounded by snow-covered forests and mountains in Banff National Park.I chose this place Since it doesn’t snow much in our country., so snowy places like this look very beautiful and interesting to me.",Canada,Snowy,Morning,Winter,Relaxing,Peace
https://i.pinimg.com/1200x/7a/98/47/7a9847aa6b2a94f237f5d31d304bd295.jpg,"The Bow Bridge in Central Park during autumn, a historic cast-iron pedestrian bridge from 1862 known for its elegant Victorian design and surrounding fall foliage.I chose this place because the autumn scenery is very peaceful, and the bridge is one of the most iconic places in New York.",USA,Cloudy,Afternoon,Fall,Sightseeing,Nostalgia




