Image URL,Description,Country,Weather,Time of Day,Season,Activity,Mood
https://plus.unsplash.com/premium_photo-1725408094253-33f4384d0ae5?fm=jpg&ixid=M3wxMjA3fDB8MHxwaG90by1yZWxhdGVkfDE1fHx8ZW58MHx8fHx8&ixlib=rb-4.1.0&q=60&w=3000,Iconic cityscape of NYC,United States of America,Sunny,Afternoon,Summer,Sightseeing,Excitement
https://img.freepik.com/premium-photo/scenic-view-cliffs-moher-ireland-cloudy-day_1048944-12060616.jpg,Natural landscape,Ireland,Cloudy,Afternoon,Fall,Hiking,Adventure
https://www.parisdiscoveryguide.com/image-files/800-musee-cite-architecture-view-of-tour-eiffel.jpg,Classic view of the Eiffel Tower,France,Sunny,Afternoon,Summer,Sightseeing,Romance
https://www.traveloffpath.com/wp-content/uploads/2022/11/Flying-To-Dubai-UAE-Finally-Lifts-All-Entry-Requirements-Returning-To-Normal-Travel-edited-scaled.jpg.webp,Iconic skyline with skyscrapers,United Arab Emirates,Sunny,Evening,Not Clear,Relaxing,Happiness
https://portalcdn.spa.gov.sa/backend/original/202506/iQ5aXWncYwdlKVIL0YVEa8mbY4DjhpQeBwFlhCtq.jpg,Holy site,Saudi Arabia,Not Clear,Evening,Not Clear,Relaxing,Nostalgia
https://photos.smugmug.com/Kyoto/Kyoto-Must-Do/i-JRJVg9N/0/f943b5ab/L/kyoto-must-do-shutterstock_403209976-L.jpg,classic cultural and natural view,Japan,Sunny,Morning,Spring,Sightseeing,Happiness
https://images.squarespace-cdn.com/content/v1/64dd388ada7c5c224b4013f8/a9c9a7ac-2faa-4bff-ba7d-4aeced75f67e/Edinburgh%2BCastle.jpg,Historic castle of Edinburgh,Scotland,Cloudy,Evening,Fall,Sightseeing,Curiosity
https://57hours.com/wp-content/uploads/2022/10/Tho%CC%81rsmo%CC%88rk-Iceland-Northern-Lights-1920x1282.jpg,Northern lights,Iceland,Snowy,Evening,Winter,Relaxing,Curiosity
https://english.palinfo.com/wp-content/uploads//Models/Media/old/images/2015/2/20/602051478.jpg,Holy site,Palestine,Snowy,Afternoon,Winter,Sightseeing,Nostalgia
https://blog.crystaltravel.co.uk/wp-content/uploads/2024/10/Stonehenge.webp,Famous ancient landmarks,England,Cloudy,Morning,Spring,Hiking,Curiosity
