Image URL,Description,Country,Weather,Time of Day,Season ,Activity,Mood 
https://90summers.com/wp-content/uploads/2025/02/cocora-valley-hike-cocora-valley-trails-hikes-in-salento-cocora-valley-salento-193.jpg,"A peaceful green valley filled with Colombia’s famous tall wax palm trees. I chose this place because it represents the natural beauty of Colombia, and I’d love to visit somewhere calm, fresh, and surrounded by nature. It feels like an adventure and a connection to my background.",Colombia,Cloudy,Morning,Spring,Hiking,Adventure 
https://e26cobbtfvp.exactdn.com/wp-content/uploads/2011/10/cityscape-tokyo-tower-night-lights-1200x800.jpg,"Tokyo Tower and the surrounding city lights at night. I chose this place because Tokyo feels exciting and full of culture, modern architecture, and city energy that I want to experience.",Japan,Not Clear,Evening,Not clear,Sightseeing,Excitement
500px-Gen?i?eva_ku?a_6.jpg ,"The Nikola Tesla Museum building in Belgrade, showcasing exhibits about his inventions. I chose this place because I admire Tesla’s work and want to learn more about his life and groundbreaking discoveries.",Serbia,Sunny,Afternoon ,Not clear,Exploring,Curosity
https://news.northeastern.edu/wp-content/uploads/2023/01/TSMC1400.jpg,A modern semiconductor fabrication facility in Taiwan — I chose this because as a computer engineer it represents the heart of global chip manufacturing and shows cutting edge technology in action.,Taiwan,Not clear,Evening,Not clear,Exploring ,Curosity
https://d1rioy1v9s51jr.cloudfront.net/pics/3415/1350x675/marina-bay-sands-2_4003.jpg,"Marina Bay Sands and Singapore’s modern cityscape — I chose this place because its infrastructure and urban planning are impressive, showcasing innovation and efficient design.",Singapore,Not clear,Evening,Not clear,Sightseeing,Excitement
https://ssl.cdn-redfin.com/photo/235/mbphoto/672/genMid.NJCD2103672_88_1.jpg,"A typical New Jersey suburban home — I chose this place because I was born in the United States and many of my relatives still live there. It represents home, family and memories for me.",United States of America,Sunny,Morning,Spring,Visiting,Nostalgia 
https://i.pinimg.com/originals/1f/1b/fd/1f1bfd1580519abfb905dc6afd83bbab.jpg,A spread of traditional Italian dishes — I chose this place because I love Italy’s cuisine and want to experience its authentic flavors firsthand,Italy,Not clear,Evening,Not clear,Eating,Happiness
https://conservewildcats.org/wp-content/uploads/sites/5/2023/09/Thank-you-11.png,"A beautiful view of the taiga forest and mountainous landscape of Sikhote-Alin. I chose this place because it’s one of the rare sanctuaries where wild Amur tigers live freely in their natural habitat, showcasing untouched wilderness.",Russia ,Snowy,Afternoon ,Winter,Hiking,Happiness
https://tocordoba.com/wp-content/uploads/2021/08/vista-aerea-mezquita-catedral-cordoba-1024x640.jpg,"The Mezquita-Catedral de Córdoba, an architectural marvel blending Islamic and Christian influences — I chose this place because it represents Spain’s rich history and some of the oldest mosques in Europe.",Spain,Sunny,Morning,Summer,Sightseeing,Awe
https://media.istockphoto.com/id/2192860784/photo/amsterdam-city-houses-at-canal-waterfront-with-spring-tulips.jpg?s=612x612&w=0&k=20&c=qasuIrAj0zrA3FCxNPm7pjL7D4zWRLml0858agYldJE=,"A picturesque canal in Amsterdam lined with historic houses — I chose this place because I love the charm of Dutch cities, their canals, and colorful tulip gardens.",Netherlands,Sunny,Afternoon,Spring,Sightseeing,Happiness
