ImageURL,Description,Country,Weather,TimeOfDay,Season,Activity,Mood
https://pin.it/icpyXRAnF,"place like heaven, fresh air, and a nice view",Austria,Cloudy,Afternoon,Fall,Sightseeing,Happiness
https://pin.it/1V204V9cX,intersting city,Austria,Sunny,Evening,Not Clear,Exploring,Curiosity
https://pin.it/34QpT3KNm,I love modern cities,United States of America,Not Clear,Evening,Not Clear,Touring,Excitement
https://pin.it/2HINXH3FT,quit place amd nice views,italy,Sunny,Afternoon,Summer,Relaxing,Happiness
https://pin.it/1g33E63M7,i love to discover islamic contries and their hestory,Oman,Sunny,Afternoon,Summer,exploring,Excitement
https://pin.it/7AAlh87hD,I like to explore more about new cultures,china,Cloudy,Afternoon,Summer,Visiting landmarks,Curiosity
https://pin.it/4jeoO1SOw,A peaceful view of the mountains,switzerland,Snowy,Afternoon,winter,Skiing,Excitement
https://pin.it/6CoYpn30S,ts atmosphere feels exciting and full of life,Japan,Sunny,Afternoon,Spring,Sightseeing,Excitement
https://pin.it/gcdqk8wfb,"A magical winter view of Northern Lights. 
I chose this place because I dream 
of seeing the aurora in real life",Norway,Snowy,Evening,Winter,Aurora Watching,Curiosity
https://pin.it/6xbixUWKP,"A beautiful historical view from Uzbekistan 
with traditional Islamic architecture. I chose this place because 
I love exploring ancient cities and their culture",Uzbekistan,Sunny,Afternoon,Summer,Sightseeing,Curiosity
