ImageURL,Description,Country,Weather,TimeOfDay,Season,Activity,Mood
https://i.pinimg.com/1200x/dc/53/7f/dc537fc2f2fb4f80567108f5df1a11fa.jpg,"place like heaven, fresh air, and a nice view",Austria,Cloudy,Afternoon,Fall,Sightseeing,Happiness
https://i.pinimg.com/1200x/84/48/d8/8448d8e1b7b4ad38a8f03e73a4625a4d.jpg,intersting city ,Austria,Sunny,Evening,Not Clear,Exploring,Curiosity
https://i.pinimg.com/736x/58/90/ca/5890ca1936eada1bf62aae087bcea67d.jpg,I love modern cities,United States of America,Not Clear,Evening,Not Clear,Touring,Excitement
https://i.pinimg.com/736x/3b/f8/c7/3bf8c7883929fd7fc5bd938484967abb.jpg,quit place amd nice views,italy ,Sunny,Afternoon,Summer,Relaxing,Happiness
https://i.pinimg.com/736x/74/72/ff/7472ff5885673aaad8a7a18243804118.jpg,i love to discover islamic contries and their hestory ,Oman,Sunny,Afternoon,Summer,exploring,Excitement
https://i.pinimg.com/1200x/38/64/52/3864527aebc1238fbc426db1919e60af.jpg,I like to explore more about new cultures,china ,Cloudy,Afternoon,Summer,Visiting landmarks,Curiosity
https://nomadicfare.com/wp-content/uploads/2021/02/NomadicFare_Switzerland_06b.jpeg,A peaceful view of the mountains,switzerland ,Snowy,Afternoon,winter ,Skiing,Excitement
https://i.pinimg.com/1200x/aa/df/ba/aadfba80c32936d84af2d27769dc73ab.jpg,ts atmosphere feels exciting and full of life,Japan,Sunny,Afternoon,Spring,Sightseeing,Excitement
https://i.pinimg.com/736x/17/fa/76/17fa764b541d55080003f9e8d33c949b.jpg,"A magical winter view of Northern Lights. 
I chose this place because I dream 
of seeing the aurora in real life",Norway,Snowy,Evening,Winter ,Aurora Watching,Curiosity
https://i.pinimg.com/1200x/1c/c4/f3/1cc4f33693611b526798865067ddbd21.jpg,"A beautiful historical view from Uzbekistan 
with traditional Islamic architecture. I chose this place because 
I love exploring ancient cities and their culture",Uzbekistan,Sunny,Afternoon,Summer,Sightseeing,Curiosity
